"time","value","rank","std","r","Min","Max","Q25","Q50","Q75","PathwayID","Pathway","sign"
"48",288.666666666667,15.8333333333333,51.589404596939,6,235,375,257,273,311.5,"map00340","Histidine metabolism","a"
"CK",479.333333333333,19.3333333333333,208.286981510287,6,227,755,322.25,466.5,631.75,"map00340","Histidine metabolism","a"
"0",61,13.75,58.8251646831524,6,0,149,16,48.5,98.25,"map04144","Endocytosis","ab"
"12",26.3333333333333,9.91666666666667,25.5473416751463,6,0,69,9,20,37.75,"map04144","Endocytosis","b"
"48",107.333333333333,18.5,84.1514507698273,6,18,225,54.75,78,168,"map04144","Endocytosis","a"
"CK",19.3333333333333,7.83333333333333,28.987353564385,6,0,76,3,7,20,"map04144","Endocytosis","b"
"0",118.666666666667,13.75,145.167030232993,6,2,402,36.75,84,110.25,"map04024","cAMP signaling pathway","a"
"12",75.8333333333333,12.6666666666667,68.718022866397,6,2,184,21.5,71.5,108.75,"map04024","cAMP signaling pathway","ab"
"48",180.166666666667,17.5833333333333,140.067721715842,6,44,377,89.25,119.5,286.25,"map04024","cAMP signaling pathway","a"
"CK",19,6,28.6565873753313,6,1,73,1.75,4.5,23.75,"map04024","cAMP signaling pathway","b"
"0",201.333333333333,9.16666666666667,225.012592240227,6,78,658,94,124,136,"map00900","Terpenoid backbone biosynthesis","b"
"12",110.833333333333,5.83333333333333,37.6373041896822,6,45,159,104,118,123.75,"map00900","Terpenoid backbone biosynthesis","b"
"48",200,14.8333333333333,47.5436641415026,6,161,286,166.5,187,211.25,"map00900","Terpenoid backbone biosynthesis","a"
"CK",396.833333333333,20.1666666666667,133.891622839768,6,236,550,278.25,422,496,"map00900","Terpenoid backbone biosynthesis","a"
"0",0.5,10.75,1.22474487139159,6,0,3,0,0,0,"map00901","Indole alkaloid biosynthesis","b"
"12",0,8.5,0,6,0,0,0,0,0,"map00901","Indole alkaloid biosynthesis","b"
"48",0.5,11.75,0.836660026534076,6,0,2,0,0,0.75,"map00901","Indole alkaloid biosynthesis","b"
"CK",3.16666666666667,19,2.71416039810964,6,0,7,2,2,5,"map00901","Indole alkaloid biosynthesis","a"
"0",106.166666666667,9.33333333333333,117.622135105033,6,37,344,50.75,61.5,79.75,"map00903","Limonene and pinene degradation","bc"
"12",53.6666666666667,6,28.2536133382381,6,15,98,38.5,55,63.25,"map00903","Limonene and pinene degradation","c"
"48",108.5,14.1666666666667,24.5173408019712,6,90,157,96.25,100.5,106.25,"map00903","Limonene and pinene degradation","b"
"CK",225.166666666667,20.5,89.2981896046424,6,113,375,188.25,203,256,"map00903","Limonene and pinene degradation","a"
"0",19.6666666666667,14.1666666666667,23.6192012283791,6,6,67,6.75,10.5,16.5,"map00906","Carotenoid biosynthesis","ab"
"12",5.83333333333333,7.66666666666667,4.16733328000853,6,1,11,2.5,5.5,9.25,"map00906","Carotenoid biosynthesis","b"
"48",9,11,6.57267069006199,6,2,20,4.25,8.5,11.25,"map00906","Carotenoid biosynthesis","ab"
"CK",23.3333333333333,17.1666666666667,14.3201489750165,6,7,37,10.25,26,35.75,"map00906","Carotenoid biosynthesis","a"
"0",2.5,7.75,6.12372435695795,6,0,15,0,0,0,"map00909","Sesquiterpenoid and triterpenoid biosynthesis","b"
"12",0.833333333333333,6.58333333333333,2.04124145231932,6,0,5,0,0,0,"map00909","Sesquiterpenoid and triterpenoid biosynthesis","b"
"48",15.1666666666667,18.5,3.12516666222246,6,12,21,13.5,15,15,"map00909","Sesquiterpenoid and triterpenoid biosynthesis","a"
"CK",15,17.1666666666667,11.5412304370028,6,2,36,9.5,13,16.5,"map00909","Sesquiterpenoid and triterpenoid biosynthesis","a"
"0",166,8.66666666666667,198.101993932419,6,71,570,82.5,90.5,93.25,"map03060","Protein export","b"
"12",85.6666666666667,6.33333333333333,29.3984126555613,6,40,120,69.75,91,104.75,"map03060","Protein export","b"
"48",199.5,15.1666666666667,30.5270371965574,6,153,235,182.25,205.5,219,"map03060","Protein export","a"
"CK",366.666666666667,19.8333333333333,128.051031493958,6,180,491,275.5,412.5,458.75,"map03060","Protein export","a"
"0",35.3333333333333,10.3333333333333,38.2343649962526,6,7,102,8.5,18,50.75,"map05120","Epithelial cell signaling in Helicobacter pylori infection","ab"
"12",16.6666666666667,7.08333333333333,12.9254271367203,6,1,34,7,16.5,25.25,"map05120","Epithelial cell signaling in Helicobacter pylori infection","b"
"48",58.8333333333333,16.75,28.0671813096126,6,25,98,42.5,51.5,78.5,"map05120","Epithelial cell signaling in Helicobacter pylori infection","a"
"CK",57.1666666666667,15.8333333333333,28.9994252816615,6,16,83,36,70,77,"map05120","Epithelial cell signaling in Helicobacter pylori infection","a"
"0",15.5,9.08333333333333,15.1624536272992,6,4,42,4.75,9,21.5,"map00590","Arachidonic acid metabolism","b"
"12",9.5,6.41666666666667,5.82237065120385,6,2,18,6,9,12.75,"map00590","Arachidonic acid metabolism","b"
"48",35.5,18.75,14.3770650690605,6,19,56,24.25,35.5,43.75,"map00590","Arachidonic acid metabolism","a"
"CK",27.5,15.75,9.64883412646316,6,14,37,20.5,29.5,35.5,"map00590","Arachidonic acid metabolism","a"
"0",175.666666666667,8.33333333333333,179.739441043603,6,53,537,92.25,118,137.75,"map00470","D-Amino acid metabolism","b"
"12",119.833333333333,7,49.6685681962614,6,58,197,85.75,126,136.25,"map00470","D-Amino acid metabolism","b"
"48",200.5,15,36.2256814980754,6,168,265,173.75,194.5,209.25,"map00470","D-Amino acid metabolism","a"
"CK",368.5,19.6666666666667,142.786203815355,6,203,543,238.75,400,460,"map00470","D-Amino acid metabolism","a"
"0",283.333333333333,8,313.12787590163,6,101,916,123.75,183.5,205,"map00350","Tyrosine metabolism","b"
"12",183.5,7.33333333333333,62.2920540679146,6,82,233,149.75,213.5,226.25,"map00350","Tyrosine metabolism","b"
"48",286.833333333333,14.6666666666667,68.1011502594976,6,230,412,240.25,269,300,"map00350","Tyrosine metabolism","a"
"CK",559.5,20,209.136080100972,6,281,794,417.75,562.5,731.25,"map00350","Tyrosine metabolism","a"
"0",749.166666666667,9.33333333333333,743.749263304957,6,330,2243,381.25,421.5,638.75,"map00230","Purine metabolism","bc"
"12",390.833333333333,6.16666666666667,136.36629593366,6,180,528,308.75,448.5,470.5,"map00230","Purine metabolism","c"
"48",800.333333333333,15.5,168.032933279958,6,609,1049,669.75,791,897.25,"map00230","Purine metabolism","ab"
"CK",1401.16666666667,19,549.288418471268,6,601,1973,1014,1586,1774.75,"map00230","Purine metabolism","a"
"0",4.66666666666667,7.66666666666667,7.8655366420014,6,0,20,0,1,5,"map00591","Linoleic acid metabolism","b"
"12",3.33333333333333,7.5,3.82970843102535,6,1,11,1.25,2,2.75,"map00591","Linoleic acid metabolism","b"
"48",16.1666666666667,18.3333333333333,5.74166061925177,6,11,26,12,15,18,"map00591","Linoleic acid metabolism","a"
"CK",13,16.5,3.40587727318528,6,8,18,11.5,13,14.5,"map00591","Linoleic acid metabolism","a"
"0",1534.83333333333,8.83333333333333,1714.4641631328,6,557,5012,732,941,1057,"map01200","Carbon metabolism","b"
"12",886,6.16666666666667,233.094830487508,6,520,1106,752.25,1000,1015.25,"map01200","Carbon metabolism","b"
"48",1576.83333333333,15,196.453981040514,6,1283,1862,1482.5,1601.5,1653,"map01200","Carbon metabolism","a"
"CK",3054.16666666667,20,1094.95852280653,6,1597,4317,2186,3336,3786.25,"map01200","Carbon metabolism","a"
"0",25.5,10.0833333333333,26.8830801806638,6,3,78,11.25,19.5,23.25,"map00592","alpha-Linolenic acid metabolism","b"
"12",16.3333333333333,8.58333333333333,9.89275829415976,6,3,31,12,14,22,"map00592","alpha-Linolenic acid metabolism","b"
"48",38,18.0833333333333,11.933147112141,6,25,53,29.25,35,48.25,"map00592","alpha-Linolenic acid metabolism","a"
"CK",26.6666666666667,13.25,16.5247289438183,6,7,51,13.75,29.5,33.25,"map00592","alpha-Linolenic acid metabolism","ab"
"0",69.8333333333333,15,73.8252441016396,6,2,208,24.25,55.5,77,"map04713","Circadian entrainment","a"
"12",42,12.3333333333333,40.8460524408418,6,2,103,9,35.5,65.75,"map04713","Circadian entrainment","ab"
"48",80.8333333333333,16.6666666666667,59.5765613867288,6,19,178,43.25,62.5,110.25,"map04713","Circadian entrainment","a"
"CK",11,6,18.4607692147429,6,0,48,1.5,3.5,8.5,"map04713","Circadian entrainment","b"
"0",383,13.3333333333333,308.724472628912,6,108,949,187.25,308,435.5,"map04714","Thermogenesis","ab"
"12",179.5,6.16666666666667,58.7324441854755,6,121,259,131,166.5,225.25,"map04714","Thermogenesis","b"
"48",295.666666666667,13.3333333333333,108.321127517519,6,170,455,239.25,256,366.5,"map04714","Thermogenesis","ab"
"CK",374.333333333333,17.1666666666667,103.124520200904,6,295,577,316.5,349,365,"map04714","Thermogenesis","a"
"0",336.666666666667,8.83333333333333,374.098739194169,6,135,1097,166.75,199,225.25,"map00910","Nitrogen metabolism","b"
"12",184.5,6.5,71.8129514781282,6,78,265,137.5,212.5,223,"map00910","Nitrogen metabolism","b"
"48",320.833333333333,15.4166666666667,72.9559227661927,6,239,437,264.75,330,342,"map00910","Nitrogen metabolism","a"
"CK",633.5,19.25,273.901989770064,6,295,897,390.75,700.5,865.5,"map00910","Nitrogen metabolism","a"
"0",461.666666666667,8,466.581468413252,6,191,1407,239.75,305.5,333.75,"map03070","Bacterial secretion system","b"
"12",315.666666666667,7.33333333333333,131.248873011035,6,127,491,236,353.5,367.5,"map03070","Bacterial secretion system","b"
"48",578.166666666667,15.8333333333333,91.7156838641389,6,452,722,529,586,606.25,"map03070","Bacterial secretion system","a"
"CK",942.333333333333,18.8333333333333,363.800311526346,6,470,1322,643.75,1014.5,1238.25,"map03070","Bacterial secretion system","a"
"0",93.8333333333333,11,90.1984848357591,6,16,214,30.25,52,167.5,"map05130","Pathogenic Escherichia coli infection","ab"
"12",42.5,7.16666666666667,22.3315919719128,6,17,70,25.75,38.5,61.75,"map05130","Pathogenic Escherichia coli infection","b"
"48",165.333333333333,18.1666666666667,103.8165047893,6,57,301,99.25,126,250.25,"map05130","Pathogenic Escherichia coli infection","a"
"CK",87,13.6666666666667,41.2892237757021,6,36,152,59,92.5,99,"map05130","Pathogenic Escherichia coli infection","ab"
"0",102.666666666667,10.8333333333333,100.141233598686,6,18,247,27.25,59.5,176.5,"map05131","Shigellosis","b"
"12",49.1666666666667,7.66666666666667,26.6114010654581,6,19,93,31.25,46,60,"map05131","Shigellosis","b"
"48",158.333333333333,18.5,91.3097293100065,6,62,275,106.75,118.5,234.5,"map05131","Shigellosis","a"
"CK",89.8333333333333,13,43.7329014206314,6,36,165,66.25,89.5,97.75,"map05131","Shigellosis","ab"
"0",99.8333333333333,8.66666666666667,91.512658505076,6,5,270,51.5,90,101.5,"map05133","Pertussis","b"
"12",88,8.08333333333333,53.3778980477875,6,15,170,62.75,81,113.5,"map05133","Pertussis","b"
"48",168,16.6666666666667,42.3933957120682,6,117,243,147.5,165,173.5,"map05133","Pertussis","a"
"CK",174.333333333333,16.5833333333333,64.8341473813504,6,112,265,121.25,161,219.5,"map05133","Pertussis","a"
"0",397.166666666667,8.41666666666667,412.514929022777,6,171,1234,197.25,258.5,277.75,"map00360","Phenylalanine metabolism","bc"
"12",250.333333333333,7.16666666666667,94.29669488729,6,94,349,208,272,314.25,"map00360","Phenylalanine metabolism","c"
"48",366.333333333333,13.75,65.273782383639,6,265,462,352.75,357,393.5,"map00360","Phenylalanine metabolism","b"
"CK",797.833333333333,20.6666666666667,305.873448776887,6,466,1250,537.5,803.5,962.25,"map00360","Phenylalanine metabolism","a"
"0",419.833333333333,8.16666666666667,502.072272353958,6,168,1441,184.5,225.5,272.5,"map00240","Pyrimidine metabolism","b"
"12",231.833333333333,6.83333333333333,94.3088896481486,6,56,315,216.25,259.5,289.25,"map00240","Pyrimidine metabolism","b"
"48",468.166666666667,15.5,67.2530048894967,6,385,574,429.75,456.5,501.25,"map00240","Pyrimidine metabolism","a"
"CK",907.666666666667,19.5,345.541700329594,6,418,1195,644,1048.5,1182.25,"map00240","Pyrimidine metabolism","a"
"0",376,7.83333333333333,376.387034845782,6,168,1139,191,251.5,269.25,"map00362","Benzoate degradation","b"
"12",240.833333333333,7,84.8278649187086,6,92,320,210.5,274,290.25,"map00362","Benzoate degradation","b"
"48",464.333333333333,15,94.4323390934836,6,400,651,410.5,434,456.75,"map00362","Benzoate degradation","a"
"CK",791.333333333333,20.1666666666667,293.456413572215,6,450,1241,574.25,778.5,940,"map00362","Benzoate degradation","a"
"0",441.666666666667,8.66666666666667,432.813431707782,6,180,1313,212.5,309,346.25,"map01210","2-Oxocarboxylic acid metabolism","bc"
"12",288.166666666667,6.83333333333333,101.393129287278,6,116,363,242.75,339,355.75,"map01210","2-Oxocarboxylic acid metabolism","c"
"48",432.333333333333,14.6666666666667,61.0922799268997,6,345,495,391,446,478.5,"map01210","2-Oxocarboxylic acid metabolism","ab"
"CK",876.666666666667,19.8333333333333,347.18390899733,6,440,1307,594,942,1098.75,"map01210","2-Oxocarboxylic acid metabolism","a"
"0",325.833333333333,12.6666666666667,317.935475634077,6,68,921,115.25,248,361.25,"map05016","Huntington disease","ab"
"12",138.333333333333,6.66666666666667,45.7850048232679,6,90,191,97.5,139.5,174.75,"map05016","Huntington disease","b"
"48",260.166666666667,13.8333333333333,142.672235093821,6,98,464,181.25,210,358,"map05016","Huntington disease","ab"
"CK",286.333333333333,16.8333333333333,94.0418346623813,6,208,453,233.25,241,318.5,"map05016","Huntington disease","a"
"0",578.333333333333,8.83333333333333,603.309760128797,6,248,1802,306.5,331.5,427,"map01212","Fatty acid metabolism","b"
"12",337.833333333333,6.16666666666667,106.206245892917,6,178,435,267.75,381.5,411.25,"map01212","Fatty acid metabolism","b"
"48",677.666666666667,15,123.66513925382,6,559,894,593.5,648,718.25,"map01212","Fatty acid metabolism","a"
"CK",1164.33333333333,20,423.630342004284,6,687,1791,832,1142,1407,"map01212","Fatty acid metabolism","a"
"0",23,13.9166666666667,17.6861527755473,6,9,58,14.5,18,20.75,"map04964","Proximal tubule bicarbonate reclamation","a"
"12",7.5,5.33333333333333,4.63680924774785,6,1,12,4,9,11,"map04964","Proximal tubule bicarbonate reclamation","b"
"48",16.8333333333333,12.75,6.08002192978501,6,7,22,13.5,19,21.5,"map04964","Proximal tubule bicarbonate reclamation","a"
"CK",28,18,14.0570267126445,6,5,46,25.25,26.5,36,"map04964","Proximal tubule bicarbonate reclamation","a"
"0",353.333333333333,12.8333333333333,338.38479083237,6,78,975,127,245.5,427.75,"map05014","Amyotrophic lateral sclerosis","ab"
"12",146.833333333333,6.41666666666667,43.4668456029037,6,95,205,120.5,134.5,180.75,"map05014","Amyotrophic lateral sclerosis","b"
"48",322.5,14.6666666666667,196.660875620953,6,122,602,200.5,243,464.75,"map05014","Amyotrophic lateral sclerosis","a"
"CK",300.333333333333,16.0833333333333,91.21330312332,6,227,444,242.5,252,353.75,"map05014","Amyotrophic lateral sclerosis","a"
"0",398.166666666667,9,443.725778681684,6,139,1297,187.25,249.5,278,"map00920","Sulfur metabolism","b"
"12",219.333333333333,6,60.1187713336414,6,119,276,190.75,246.5,253.5,"map00920","Sulfur metabolism","b"
"48",402.833333333333,15.1666666666667,83.2548296897343,6,292,524,352,401,447.75,"map00920","Sulfur metabolism","a"
"CK",774.166666666667,19.8333333333333,288.306376389192,6,358,1159,615.75,783.5,946.75,"map00920","Sulfur metabolism","a"
"0",103,13.0833333333333,92.5721340361126,6,5,230,48.5,65,173.75,"map04727","GABAergic synapse","ab"
"12",43.1666666666667,7.25,29.1781882005492,6,4,81,22,49,59.5,"map04727","GABAergic synapse","b"
"48",107.666666666667,15.6666666666667,51.0672758884461,6,54,180,73.5,91,144.5,"map04727","GABAergic synapse","a"
"CK",104.5,14,53.7094032735423,6,41,174,61,109,139,"map04727","GABAergic synapse","ab"
"0",124.333333333333,10,127.59571570655,6,33,335,40,55.5,188,"map05132","Salmonella infection","ab"
"12",73.8333333333333,7.5,48.2054630375714,6,34,159,44.75,51.5,91.25,"map05132","Salmonella infection","b"
"48",207.833333333333,16.8333333333333,114.736945517417,6,76,350,142,167,306.75,"map05132","Salmonella infection","a"
"CK",157.666666666667,15.6666666666667,68.5905727244398,6,60,243,111,176.5,194.75,"map05132","Salmonella infection","a"
"0",312,12.75,328.27244782345,6,63,936,100.75,210.5,343.5,"map05012","Parkinson disease","ab"
"12",120.5,6.83333333333333,36.9634955057013,6,79,175,93.25,114.5,144,"map05012","Parkinson disease","b"
"48",209.5,12.9166666666667,103.213855659015,6,96,373,153,173.5,264.5,"map05012","Parkinson disease","ab"
"CK",279.666666666667,17.5,96.4814317196147,6,206,444,215,232,324,"map05012","Parkinson disease","a"
"0",101.5,10,103.149890935473,6,30,304,41.25,66,99,"map05134","Legionellosis","b"
"12",66.1666666666667,8.58333333333333,18.0600849019784,6,52,98,54.25,58,73,"map05134","Legionellosis","b"
"48",101.666666666667,13.25,43.1447177145322,6,42,162,84,91,129.5,"map05134","Legionellosis","ab"
"CK",165.666666666667,18.1666666666667,66.9497323868189,6,67,219,118.5,200.5,212,"map05134","Legionellosis","a"
"0",74.8333333333333,8.25,73.7873069481918,6,33,224,36.75,51,56.25,"map00361","Chlorocyclohexane and chlorobenzene degradation","b"
"12",48.5,6.41666666666667,16.5499244711267,6,25,72,39.75,48.5,57.25,"map00361","Chlorocyclohexane and chlorobenzene degradation","b"
"48",91.1666666666667,15.1666666666667,22.1848296515134,6,75,133,78.25,81,95,"map00361","Chlorocyclohexane and chlorobenzene degradation","a"
"CK",186,20.1666666666667,75.9131082224934,6,80,272,139,186.5,247.5,"map00361","Chlorocyclohexane and chlorobenzene degradation","a"
"0",14.3333333333333,12,17.7838878389026,6,0,45,1.75,7.5,21.5,"map00120","Primary bile acid biosynthesis","ab"
"12",3,5.91666666666667,3.46410161513775,6,0,8,0,2.5,5,"map00120","Primary bile acid biosynthesis","b"
"48",22,18,6.84105255059483,6,10,30,20.25,24,24.75,"map00120","Primary bile acid biosynthesis","a"
"CK",16,14.0833333333333,9.50789145920377,6,3,29,9.5,18.5,20,"map00120","Primary bile acid biosynthesis","a"
"0",19.8333333333333,8.16666666666667,21.0942330191611,6,4,62,10.5,13.5,15.75,"map00121","Secondary bile acid biosynthesis","bc"
"12",14.8333333333333,7.91666666666667,8.61200712184254,6,5,28,9.5,12.5,20,"map00121","Secondary bile acid biosynthesis","c"
"48",26.5,14.6666666666667,8.82609766544649,6,18,41,20.5,23.5,31,"map00121","Secondary bile acid biosynthesis","ab"
"CK",46.5,19.25,20.5499391726594,6,19,65,29.75,53.5,63,"map00121","Secondary bile acid biosynthesis","a"
"0",56.8333333333333,9.25,49.7088188017646,6,28,157,32.5,36.5,48,"map00364","Fluorobenzoate degradation","b"
"12",33.3333333333333,5.41666666666667,9.83192080250175,6,20,45,27.5,32.5,41.25,"map00364","Fluorobenzoate degradation","b"
"48",78.3333333333333,15.1666666666667,17.0841056735981,6,61,107,65,77.5,84,"map00364","Fluorobenzoate degradation","a"
"CK",130.666666666667,20.1666666666667,45.1781658178668,6,81,191,95,123.5,165.5,"map00364","Fluorobenzoate degradation","a"
"0",358.5,8.66666666666667,384.505786692476,6,121,1132,159.5,229,285,"map00480","Glutathione metabolism","b"
"12",232,7.66666666666667,91.664606037445,6,91,306,174.25,278,294,"map00480","Glutathione metabolism","b"
"48",334.333333333333,13.5,59.0886339888363,6,273,426,287.25,327,366,"map00480","Glutathione metabolism","b"
"CK",712.833333333333,20.1666666666667,261.481484366803,6,338,1071,560.75,733,857.25,"map00480","Glutathione metabolism","a"
"0",33.3333333333333,13.8333333333333,40.396369473836,6,0,107,4.75,21.5,43.5,"map04722","Neurotrophin signaling pathway","ab"
"12",16.3333333333333,11.8333333333333,15.4229266569827,6,0,39,4.75,13.5,26,"map04722","Neurotrophin signaling pathway","ab"
"48",39.1666666666667,16.8333333333333,32.7011722521788,6,6,89,13.75,32,59.25,"map04722","Neurotrophin signaling pathway","a"
"CK",6.66666666666667,7.5,11.5700763466222,6,0,30,1,2,4.5,"map04722","Neurotrophin signaling pathway","b"
"0",30.8333333333333,12.8333333333333,36.771818919747,6,0,94,3,19,46.25,"map05135","Yersinia infection","ab"
"12",14.8333333333333,10.9166666666667,16.7381799090184,6,0,37,0.5,10,28.5,"map05135","Yersinia infection","ab"
"48",51.3333333333333,17.9166666666667,41.0544354079637,6,15,108,21,34.5,83.25,"map05135","Yersinia infection","a"
"CK",8,8.33333333333333,16.3340135912763,6,0,41,0,0.5,4.75,"map05135","Yersinia infection","b"
"0",0.333333333333333,10.5833333333333,0.816496580927726,6,0,2,0,0,0,"map00363","Bisphenol degradation","b"
"12",0,8.5,0,6,0,0,0,0,0,"map00363","Bisphenol degradation","b"
"48",0.166666666666667,10.0833333333333,0.408248290463863,6,0,1,0,0,0,"map00363","Bisphenol degradation","b"
"CK",2.5,20.8333333333333,1.87082869338697,6,1,6,1.25,2,2.75,"map00363","Bisphenol degradation","a"
"0",298.333333333333,13.25,284.616701313656,6,73,828,95.5,233,338.25,"map05020","Prion disease","ab"
"12",118.833333333333,7.33333333333333,42.9996124013539,6,72,186,87.75,111,142.5,"map05020","Prion disease","b"
"48",200.666666666667,12.9166666666667,104.916474715207,6,78,348,143,165,275.5,"map05020","Prion disease","ab"
"CK",231.666666666667,16.5,85.7033643835915,6,166,380,174.25,192.5,266.25,"map05020","Prion disease","a"
"0",432.166666666667,8.66666666666667,533.751783759705,6,191,1520,195.25,208.5,257.75,"map00250","Alanine, aspartate and glutamate metabolism","b"
"12",226,6.41666666666667,88.2315136445023,6,118,353,158.25,232.5,273,"map00250","Alanine, aspartate and glutamate metabolism","b"
"48",468,15.5833333333333,88.3945699689749,6,353,569,407,462.5,545,"map00250","Alanine, aspartate and glutamate metabolism","a"
"CK",875.333333333333,19.3333333333333,347.819876756155,6,391,1229,611,972.5,1140.5,"map00250","Alanine, aspartate and glutamate metabolism","a"
"0",139.166666666667,9.16666666666667,151.518205726793,6,67,447,68,74,98.75,"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","bc"
"12",74.5,6.08333333333333,23.8725784112232,6,38,98,59.25,83,91,"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","c"
"48",141.5,15.0833333333333,28.5499562171293,6,98,173,130.5,138,165,"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","ab"
"CK",263.666666666667,19.6666666666667,83.9110640301186,6,126,337,221,292,326.25,"map00130","Ubiquinone and other terpenoid-quinone biosynthesis","a"
