#catalog	Pathway	CKmc1	CKmc2	CKmc3	CKmc4	CKmc5	CKmc6	0hmc1	0hmc2	0hmc3	0hmc4	0hmc5	0hmc7	12hmc1	12hmc2	12hmc3	12hmc4	12hmc5	12hmc6	48hmc1	48hmc2	48hmc3	48hmc4	48hmc5	48hmc6
map05133	Pertussis	112	200	265	121	122	226	89	105	39	5	91	270	15	59	170	74	88	122	164	166	142	243	176	117
map00360	Phenylalanine metabolism	480	897	1250	710	466	984	252	282	179	171	265	1234	197	94	349	303	241	318	405	359	352	462	355	265
map00240	Pyrimidine metabolism	547	1162	1195	935	418	1189	244	282	177	168	207	1441	204	56	253	266	315	297	463	450	423	574	514	385
map00362	Benzoate degradation	538	874	1241	683	450	962	273	258	168	173	245	1139	191	92	279	320	269	294	464	433	400	651	435	403
map01210	2-Oxocarboxylic acid metabolism	530	1098	1307	786	440	1099	347	344	180	192	274	1313	212	116	360	363	335	343	445	447	373	495	489	345
map05016	Huntington disease	237	245	453	343	208	232	107	356	363	140	68	921	108	176	171	90	94	191	406	214	206	464	173	98
map01212	Fatty acid metabolism	784	1308	1791	976	687	1440	349	453	304	248	314	1802	233	178	435	372	418	391	739	559	640	894	656	578
map04964	Proximal tubule bicarbonate reclamation	25	46	39	27	5	26	20	21	16	14	9	58	1	3	11	12	11	7	22	22	12	20	18	7
map05014	Amyotrophic lateral sclerosis	241	257	444	386	227	247	133	451	358	125	78	975	122	147	192	95	120	205	534	257	229	602	191	122
map04723	Retrograde endocannabinoid signaling	86	42	220	65	75	30	74	208	184	92	36	342	34	115	106	46	24	69	134	70	75	166	89	28
map04724	Glutamatergic synapse	45	101	174	102	41	138	99	226	5	77	48	215	4	83	144	16	64	46	206	92	88	234	109	37
map00920	Sulfur metabolism	564	771	1159	796	358	997	233	282	266	139	172	1297	174	119	254	276	252	241	408	394	338	524	461	292
map04727	GABAergic synapse	45	109	174	109	41	149	74	207	5	56	46	230	4	62	81	14	52	46	161	87	69	180	95	54
map04728	Dopaminergic synapse	6	23	38	47	12	46	29	113	0	13	0	99	0	17	78	5	4	25	84	45	29	109	34	6
map05132	Salmonella infection	93	165	188	243	60	197	59	231	36	52	33	335	34	44	103	47	56	159	348	183	139	350	151	76
map05012	Parkinson disease	215	215	444	349	206	249	96	306	356	115	63	936	106	123	175	89	79	151	294	176	171	373	147	96
map05134	Legionellosis	95	189	212	219	67	212	48	104	30	84	39	304	52	61	77	55	54	98	140	84	84	162	98	42
map00361	Chlorocyclohexane and chlorobenzene degradation	125	181	272	192	80	266	48	54	33	33	57	224	48	25	72	60	37	49	99	78	83	133	75	79
map00120	Primary bile acid biosynthesis	3	20	29	17	7	20	8	26	0	0	7	45	0	0	8	5	5	0	30	24	19	24	10	25
map00121	Secondary bile acid biosynthesis	19	63	65	44	25	63	12	15	4	10	16	62	5	28	11	22	9	14	25	18	22	33	41	20
map00364	Fluorobenzoate degradation	91	140	191	107	81	174	39	34	28	32	51	157	32	20	45	44	26	33	81	85	74	107	62	61
map00480	Glutathione metabolism	514	765	1071	701	338	888	252	296	121	144	206	1132	142	91	271	285	306	297	336	273	318	426	376	277
map04722	Neurotrophin signaling pathway	1	0	5	30	3	1	13	107	0	30	2	48	0	30	39	2	13	14	65	22	42	89	11	6
map05135	Yersinia infection	1	0	0	41	0	6	12	94	0	26	0	53	0	18	32	0	2	37	108	30	39	98	18	15
map00363	Bisphenol degradation	3	1	1	2	6	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
map05017	Spinocerebellar ataxia	35	92	57	87	35	57	41	190	29	44	14	167	11	42	97	18	31	68	199	69	51	247	73	20
map00365	Furfural degradation	4	9	5	5	4	11	12	0	5	18	1	5	18	13	2	21	10	6	0	0	2	20	5	5
map05020	Prion disease	195	166	380	290	190	169	78	318	345	148	73	828	102	120	186	83	72	150	309	175	155	348	139	78
map05142	Chagas disease	17	22	32	47	2	55	15	29	5	12	0	64	0	17	50	1	14	38	49	30	42	58	30	7
map05022	Pathways of neurodegeneration - multiple diseases	240	260	461	400	230	253	176	593	358	166	77	1023	122	169	281	97	139	212	568	287	263	691	200	121
map04726	Serotonergic synapse	5	23	39	39	9	49	22	78	0	14	1	57	0	38	62	5	4	16	92	56	27	90	38	11
map00250	"Alanine, aspartate and glutamate metabolism"	527	1082	1160	863	391	1229	196	270	195	191	221	1520	141	118	255	210	353	279	494	431	399	569	562	353
map00130	Ubiquinone and other terpenoid-quinone biosynthesis	200	300	335	284	126	337	77	106	67	71	67	447	91	38	54	75	98	91	173	141	129	135	173	98
map00010	Glycolysis / Gluconeogenesis	722	1165	1483	1123	489	1360	322	361	258	235	302	1859	237	192	317	333	336	338	572	512	450	602	541	455
map01100	Metabolic pathways	13340	24634	30632	20846	10361	27257	6574	8837	5072	5393	5507	34347	4637	3289	7409	7361	7662	7411	11954	10777	10368	14346	11733	8681
map05143	African trypanosomiasis	15	22	18	23	9	43	2	3	5	2	0	40	0	17	24	1	10	12	23	18	20	12	23	8
map01220	Degradation of aromatic compounds	487	685	1098	662	384	866	239	181	147	192	173	994	173	98	220	244	222	217	368	349	283	525	324	300
map04975	Fat digestion and absorption	107	182	235	109	114	179	39	60	34	33	66	205	32	13	55	50	65	62	97	70	105	154	72	85
map04612	Antigen processing and presentation	18	25	39	84	10	41	9	24	6	26	17	82	7	20	23	9	14	75	44	18	26	46	40	13
map04976	Bile secretion	7	14	58	30	9	6	66	208	4	61	25	47	4	56	74	11	17	47	128	49	26	153	50	20
map00930	Caprolactam degradation	159	213	366	178	129	219	64	39	85	84	47	287	52	67	48	83	77	62	98	101	85	141	88	66
map04978	Mineral absorption	46	111	132	85	39	102	44	65	34	29	34	151	18	32	44	37	35	53	88	57	57	87	30	26
map04979	Cholesterol metabolism	4	12	7	15	3	4	3	52	0	3	1	15	5	0	8	0	1	12	40	21	26	59	10	3
map04971	Gastric acid secretion	1	0	47	24	10	3	70	169	2	61	21	52	2	68	73	6	26	48	134	40	37	120	53	23
map04972	Pancreatic secretion	2	19	48	33	1	27	81	225	2	71	21	64	2	72	84	12	33	19	155	77	55	178	65	31
map04614	Renin-angiotensin system	18	17	39	19	7	31	4	59	2	23	2	39	0	17	15	5	8	10	56	14	26	72	40	12
map05145	Toxoplasmosis	31	43	45	66	18	48	15	53	6	43	18	88	11	8	50	17	16	31	102	50	38	102	46	19
map04970	Salivary secretion	2	22	46	22	1	27	76	191	2	63	21	64	2	89	83	8	19	18	125	59	43	154	55	22
map04613	Neutrophil extracellular trap formation	4	6	16	59	3	7	37	144	9	45	11	65	7	42	61	13	15	45	154	50	44	144	42	14
map04973	Carbohydrate digestion and absorption	5	19	4	15	0	27	2	53	0	10	3	46	0	18	21	1	2	3	44	11	17	40	9	0
map04974	Protein digestion and absorption	5	16	8	20	5	16	9	69	10	9	0	29	0	12	29	4	9	20	89	40	25	120	23	9
map05146	Amoebiasis	8	26	28	57	3	34	19	41	1	20	4	54	2	28	38	10	14	14	97	26	26	68	27	10
map05150	Staphylococcus aureus infection	6	21	55	33	13	39	18	38	4	0	24	43	5	10	37	22	16	48	21	5	21	16	8	4
map05030	Cocaine addiction	5	23	31	33	9	46	25	107	0	19	1	49	0	2	61	3	2	9	85	42	23	92	32	7
map05152	Tuberculosis	178	236	838	215	180	242	84	180	218	297	92	388	154	261	209	84	64	177	171	128	120	177	140	66
map05031	Amphetamine addiction	6	23	43	45	12	46	24	100	0	8	1	59	0	23	65	3	2	16	88	37	23	95	32	9
map00380	Tryptophan metabolism	530	829	1202	677	436	941	230	268	185	152	237	1213	197	82	252	268	263	293	394	385	394	549	411	329
map00260	"Glycine, serine and threonine metabolism"	657	1291	1498	1031	457	1394	315	430	193	223	310	1737	209	137	307	311	424	357	597	584	474	648	602	402
map00261	Monobactam biosynthesis	138	228	302	193	95	269	55	74	68	22	54	349	48	14	85	63	60	89	86	98	80	116	126	73
map01230	Biosynthesis of amino acids	1967	3963	4742	3190	1567	4273	1063	1182	646	758	987	5243	675	456	1090	1119	1234	1186	1700	1634	1519	1911	1885	1328
map01110	Biosynthesis of secondary metabolites	5603	10263	12135	8559	4122	10951	2615	3236	1884	1961	2167	14195	1788	1103	2749	2819	3034	2829	4918	4271	4221	5467	4957	3551
map03410	Base excision repair	221	515	796	380	270	417	131	224	148	255	105	571	120	178	222	137	164	191	247	198	177	297	209	157
map00020	Citrate cycle (TCA cycle)	467	967	1048	645	367	941	277	255	125	110	199	1184	147	186	294	268	220	262	421	401	367	436	420	342
map04621	NOD-like receptor signaling pathway	50	78	120	108	30	123	33	86	20	25	22	154	15	37	74	28	27	126	115	60	56	117	77	29
map04622	RIG-I-like receptor signaling pathway	6	9	13	9	9	8	2	18	1	0	1	24	1	19	19	0	14	25	32	7	17	39	3	3
map04068	FoxO signaling pathway	57	126	106	98	29	111	41	122	23	19	19	211	19	34	43	20	43	20	135	66	66	98	80	26
map00940	Phenylpropanoid biosynthesis	19	56	50	66	9	39	20	9	12	19	3	92	20	5	3	4	10	3	21	6	11	10	20	9
map04626	Plant-pathogen interaction	90	184	212	206	52	216	55	39	39	35	34	274	29	25	47	50	40	102	81	71	68	99	93	51
map04745	Phototransduction - fly	1	0	8	14	3	2	17	84	0	18	1	21	2	26	38	7	13	1	117	25	38	82	38	10
map04725	Cholinergic synapse	1	0	42	9	4	0	68	182	2	60	19	31	2	68	73	9	16	30	105	43	31	131	50	17
map04740	Olfactory transduction	1	0	3	10	3	0	19	45	8	19	0	18	0	9	21	0	7	90	62	19	9	54	11	4
map04066	HIF-1 signaling pathway	88	175	199	215	74	181	30	91	28	23	41	288	16	28	60	36	40	58	164	124	80	149	87	62
map04720	Long-term potentiation	1	0	44	17	4	0	58	166	2	52	18	33	2	72	103	6	12	8	87	47	38	137	47	20
map05034	Alcoholism	9	29	53	72	12	51	55	202	9	32	12	104	7	46	73	16	9	23	125	65	32	143	55	15
map04070	Phosphatidylinositol signaling system	53	84	127	87	34	87	26	141	18	43	25	141	18	38	71	29	33	38	139	66	79	126	43	32
map04071	Sphingolipid signaling pathway	52	20	641	17	95	14	52	186	190	252	52	137	112	258	175	24	31	136	123	66	79	146	90	16
map04072	Phospholipase D signaling pathway	60	38	706	35	100	20	115	333	195	315	71	133	122	281	223	32	47	161	236	115	105	261	126	36
map05161	Hepatitis B	31	43	47	57	14	46	10	56	5	19	16	72	8	17	38	13	16	54	113	46	46	85	27	17
map05160	Hepatitis C	31	43	44	64	14	46	9	59	5	18	16	85	8	17	34	13	8	29	81	43	36	73	31	11
map05163	Human cytomegalovirus infection	31	43	88	90	15	53	67	180	7	75	31	110	10	74	97	19	18	35	152	85	55	178	80	30
map00270	Cysteine and methionine metabolism	724	1262	1449	1023	454	1374	304	387	210	191	302	1663	178	145	376	353	318	372	531	465	449	571	552	369
map05165	Human papillomavirus infection	18	43	44	79	9	56	47	340	12	49	9	144	20	41	73	31	50	68	358	146	86	373	58	68
map01240	Biosynthesis of cofactors	2181	3941	4598	3433	1500	4298	857	1153	729	799	750	5327	680	377	892	1029	1102	966	1876	1700	1720	2117	1829	1337
map01120	Microbial metabolism in diverse environments	4381	7854	9994	6659	3422	8643	2223	2360	1501	1560	1885	11051	1525	1073	2221	2440	2485	2289	3479	3285	2958	4302	3536	2776
map03420	Nucleotide excision repair	244	620	535	421	201	537	167	132	90	169	141	617	94	79	146	148	176	152	229	206	172	304	178	200
map00030	Pentose phosphate pathway	370	658	867	635	315	686	220	236	162	159	204	1017	152	47	186	234	275	172	263	256	255	378	287	219
map05168	Herpes simplex virus 1 infection	31	44	48	82	15	50	12	153	5	30	17	72	8	15	54	15	18	312	138	50	52	187	32	24
map05162	Measles	31	43	45	75	14	48	9	47	5	38	21	88	8	8	39	16	9	41	55	36	31	58	34	14
map05167	Kaposi sarcoma-associated herpesvirus infection	31	43	49	88	14	53	14	80	5	23	13	109	8	13	45	15	11	44	94	53	38	99	35	15
map00950	Isoquinoline alkaloid biosynthesis	47	110	132	94	42	142	28	51	11	4	43	176	14	8	58	32	29	36	64	61	46	53	41	37
map00830	Retinol metabolism	78	85	110	108	31	136	20	68	20	19	14	187	12	12	25	13	17	37	80	53	55	98	42	54
map00710	Carbon fixation in photosynthetic organisms	253	456	585	478	175	484	144	148	86	87	139	689	95	66	150	124	145	107	192	158	164	177	189	136
map04750	Inflammatory mediator regulation of TRP channels	1	0	44	14	4	0	54	141	2	61	18	28	2	78	76	8	12	23	87	32	34	105	52	19
map05164	Influenza A	31	43	44	79	14	48	15	85	5	32	20	94	8	8	49	13	14	44	129	65	52	101	26	24
map05166	Human T-cell leukemia virus 1 infection	4	13	56	70	7	8	58	231	2	76	25	71	5	68	116	9	47	89	191	86	58	225	48	24
map05169	Epstein-Barr virus infection	31	43	51	88	14	50	11	81	5	28	21	104	8	6	31	14	8	73	94	41	38	84	45	23
map04080	Neuroactive ligand-receptor interaction	4	11	19	8	3	5	73	294	0	48	7	19	3	34	145	7	50	59	282	123	91	290	65	26
map05170	Human immunodeficiency virus 1 infection	31	43	58	86	14	50	10	65	5	30	13	104	8	22	60	15	9	58	90	50	41	106	38	15
map05171	Coronavirus disease - COVID-19	14	2	21	213	4	34	13	78	0	10	0	223	1	0	39	0	4	116	111	43	55	114	30	3
map00280	"Valine, leucine and isoleucine degradation"	759	1233	1765	856	600	1392	338	410	284	282	345	1641	261	121	382	398	390	448	578	532	544	770	626	556
map00281	Geraniol degradation	129	212	360	170	113	250	75	43	82	105	56	316	66	32	66	113	105	76	139	113	103	153	129	96
map01250	Biosynthesis of nucleotide sugars	568	1081	1155	975	454	1171	273	324	161	230	222	1600	196	102	236	318	323	260	465	442	428	593	497	335
map00040	Pentose and glucuronate interconversions	152	346	429	400	155	476	78	139	44	79	74	569	63	40	105	130	139	100	175	148	129	209	144	87
map03430	Mismatch repair	346	828	759	597	236	774	190	169	125	201	187	995	107	97	176	179	220	228	299	262	252	386	261	234
map04520	Adherens junction	1	1	8	39	0	2	11	109	0	17	0	20	0	4	36	5	25	12	118	31	30	113	12	10
map00960	"Tropane, piperidine and pyridine alkaloid biosynthesis"	68	142	176	99	64	166	29	54	20	15	60	224	27	4	57	47	58	60	78	78	71	73	56	50
map00720	Carbon fixation pathways in prokaryotes	538	1117	1320	817	528	1181	310	306	159	181	287	1454	174	158	316	288	328	317	447	481	427	567	481	387
map00600	Sphingolipid metabolism	70	77	691	78	123	87	57	155	194	236	72	212	118	244	146	38	31	128	96	76	76	120	109	26
map00965	Betalain biosynthesis	16	22	31	34	4	34	7	10	2	10	1	29	1	0	4	3	17	7	26	32	15	16	7	18
map00966	Glucosinolate biosynthesis	35	92	116	81	32	113	30	19	18	24	16	109	10	4	28	28	25	24	41	42	41	52	49	35
map00603	Glycosphingolipid biosynthesis - globo and isoglobo series	7	16	40	33	0	28	7	23	9	10	9	43	1	2	19	3	13	4	39	19	11	39	15	7
map00604	Glycosphingolipid biosynthesis - ganglio series	7	6	32	17	0	14	6	15	0	9	3	26	1	2	13	0	7	4	29	14	10	36	12	7
map00290	"Valine, leucine and isoleucine biosynthesis"	290	570	742	437	276	654	191	188	108	129	156	731	122	72	177	166	175	211	278	232	218	262	274	176
map00051	Fructose and mannose metabolism	243	451	546	470	165	511	88	141	47	89	86	723	52	67	96	89	184	64	204	240	174	257	181	139
map03440	Homologous recombination	352	951	798	628	263	755	157	209	123	157	147	977	146	97	169	185	226	207	351	273	280	425	370	264
map03320	PPAR signaling pathway	309	498	670	363	246	548	155	216	140	103	137	665	110	99	208	176	168	180	332	236	231	378	279	245
map00053	Ascorbate and aldarate metabolism	270	314	516	368	184	429	109	156	123	110	77	555	72	45	94	129	150	146	165	147	112	220	136	122
map00052	Galactose metabolism	229	420	375	420	173	469	99	143	48	77	54	676	63	44	73	103	119	88	145	104	100	191	135	86
map04530	Tight junction	1	0	7	50	1	3	36	228	0	55	8	55	0	25	51	3	26	26	309	79	66	290	68	54
map00970	Aminoacyl-tRNA biosynthesis	441	1021	1051	811	337	1012	235	302	161	274	180	1204	159	139	246	260	245	244	460	335	382	505	422	322
map00730	Thiamine metabolism	220	318	311	283	128	397	70	73	60	84	70	474	36	35	52	90	102	65	154	122	145	203	174	107
map04657	IL-17 signaling pathway	18	25	39	49	13	37	6	32	6	6	12	57	7	18	36	6	15	79	47	30	30	46	30	13
map04659	Th17 cell differentiation	18	28	37	56	10	34	10	50	16	9	12	54	7	18	38	6	13	88	71	31	27	79	28	15
map00061	Fatty acid biosynthesis	394	693	839	545	342	720	162	218	161	107	128	917	100	85	216	160	203	164	352	272	321	379	289	250
map03450	Non-homologous end-joining	19	59	66	64	8	58	12	26	25	7	12	65	7	10	23	20	23	12	22	14	20	40	11	12
map00980	Metabolism of xenobiotics by cytochrome P450	247	348	468	351	182	445	97	126	53	54	78	547	57	30	111	108	98	126	165	116	136	193	126	140
map00860	Porphyrin metabolism	382	753	824	695	263	837	90	189	116	145	79	1143	114	39	112	160	179	185	346	371	336	357	379	244
map00982	Drug metabolism - cytochrome P450	243	360	479	352	187	478	95	121	51	54	77	561	57	30	104	108	98	117	160	118	131	203	140	142
map00620	Pyruvate metabolism	1004	1693	2119	1407	803	1984	491	488	374	312	457	2487	371	289	498	530	527	527	816	746	689	957	768	665
map00983	Drug metabolism - other enzymes	299	480	628	526	249	567	169	207	63	127	116	682	120	62	153	157	161	226	210	136	173	279	201	173
map00500	Starch and sucrose metabolism	367	716	746	695	216	751	187	172	109	145	110	1125	112	42	191	169	217	130	281	171	210	286	273	143
map00622	Xylene degradation	78	105	161	97	69	155	17	22	8	28	16	171	26	2	11	26	23	27	81	74	56	66	63	43
map00624	Polycyclic aromatic hydrocarbon degradation	52	69	130	72	63	91	50	54	16	64	48	112	25	11	47	53	36	50	34	27	23	53	22	31
map00625	Chloroalkane and chloroalkene degradation	229	256	403	292	113	381	43	53	79	46	47	475	51	10	53	79	74	69	143	130	109	191	128	144
map00626	Naphthalene degradation	92	110	160	126	44	169	22	23	22	5	28	213	12	9	22	22	23	10	81	70	56	88	68	75
map00627	Aminobenzoate degradation	274	385	560	306	208	407	148	132	140	90	117	543	110	40	165	155	121	130	174	148	144	228	171	121
map04666	Fc gamma R-mediated phagocytosis	63	20	649	24	95	11	46	130	190	259	52	134	112	237	175	24	25	123	99	58	64	84	70	11
map00740	Riboflavin metabolism	133	233	305	236	106	272	73	83	41	71	40	321	39	6	71	68	66	59	133	111	125	176	149	79
map00621	Dioxin degradation	32	40	90	53	25	78	9	11	4	1	21	77	8	9	11	18	8	7	50	35	22	36	37	29
map00981	Insect hormone biosynthesis	97	86	182	96	50	142	17	38	37	22	26	175	16	5	10	46	28	30	66	59	44	93	42	59
map00984	Steroid degradation	26	29	21	12	9	19	4	5	11	4	2	24	2	0	0	10	3	9	9	8	10	12	5	3
map00623	Toluene degradation	64	130	171	123	44	190	54	36	26	21	54	162	24	28	46	46	33	34	89	61	75	104	53	64
map00190	Oxidative phosphorylation	910	1485	1763	1306	737	1618	367	439	612	305	309	2338	334	244	366	466	409	495	711	656	721	814	710	523
map00071	Fatty acid degradation	761	1066	1586	823	602	1251	266	337	280	229	281	1597	198	94	314	346	349	340	600	509	497	833	587	559
map01040	Biosynthesis of unsaturated fatty acids	43	78	94	55	31	93	27	52	13	12	12	108	16	34	31	16	30	10	84	37	38	93	68	33
map02010	ABC transporters	2409	3755	5224	3440	1864	4899	1361	1427	854	698	1225	5664	878	537	1653	1387	1556	1482	1358	1468	1296	1820	1487	1217
map00195	Photosynthesis	106	248	214	215	102	256	59	45	49	30	47	314	43	34	48	64	50	59	79	92	94	114	85	92
map04310	Wnt signaling pathway	1	0	11	24	5	2	41	210	0	34	4	19	0	18	95	1	32	14	159	59	35	137	50	12
map00750	Vitamin B6 metabolism	93	214	228	148	59	204	58	82	25	22	30	291	17	17	48	52	58	52	86	80	76	78	65	65
map00630	Glyoxylate and dicarboxylate metabolism	871	1644	1897	1170	717	1666	458	491	205	287	428	2153	290	216	437	495	501	422	667	756	643	779	671	560
map00511	Other glycan degradation	9	49	59	79	1	69	12	38	0	15	3	105	0	2	19	0	7	7	68	41	27	74	31	16
map00633	Nitrotoluene degradation	27	75	70	74	11	44	5	7	20	1	6	110	4	3	7	12	5	12	24	10	17	23	22	14
map00513	Various types of N-glycan biosynthesis	2	6	22	31	0	14	15	45	0	24	3	26	0	6	23	6	11	0	67	24	24	101	12	15
map00998	Biosynthesis of various antibiotics	19	43	64	49	6	70	10	14	4	3	18	79	8	5	8	22	17	11	54	41	37	44	50	35
map00999	Biosynthesis of various plant secondary metabolites	65	114	135	135	38	139	25	24	26	18	26	229	15	0	25	25	38	35	64	30	46	43	48	50
map00997	Biosynthesis of various other secondary metabolites	18	36	48	23	8	27	4	4	5	0	1	47	5	1	4	3	3	1	26	9	16	17	28	23
map00514	Other types of O-glycan biosynthesis	9	10	16	5	1	10	2	52	0	13	1	12	1	1	9	0	1	16	62	16	15	89	6	4
map00512	Mucin type O-glycan biosynthesis	5	0	14	2	0	0	1	25	0	5	0	3	1	2	10	0	2	8	31	10	6	44	10	1
map00515	Mannose type O-glycan biosynthesis	9	10	5	4	1	10	12	55	0	7	0	10	1	6	22	0	4	5	50	24	20	61	5	6
map00996	Biosynthesis of various alkaloids	13	4	4	6	3	5	0	1	3	0	0	6	6	0	0	1	1	3	0	0	0	2	0	0
map01051	Biosynthesis of ansamycins	35	86	122	70	31	73	36	21	15	8	41	99	7	9	25	28	30	26	23	19	24	24	21	14
map02020	Two-component system	2067	3983	5064	2889	1728	4312	1119	1202	901	920	1028	5188	809	510	1256	1263	1684	1125	2095	2073	1960	2565	2148	1732
map01053	Biosynthesis of siderophore group nonribosomal peptides	30	45	73	43	31	40	5	4	16	0	1	67	26	0	7	1	2	0	29	25	27	28	17	16
map01054	Nonribosomal peptide structures	5	35	16	7	1	13	6	6	10	8	6	17	2	12	16	3	12	8	10	6	8	16	13	11
