SampleID	group	tissue	time
9hqc1	9h_qc	Foregut	9
9hqc2	9h_qc	Foregut	9
9hqc3	9h_qc	Foregut	9
9hqc4	9h_qc	Foregut	9
9hqc5	9h_qc	Foregut	9
9hqc6	9h_qc	Foregut	9
9hmc1	9h_mc	Midgut	9
9hmc2	9h_mc	Midgut	9
9hmc3	9h_mc	Midgut	9
9hmc4	9h_mc	Midgut	9
9hmc5	9h_mc	Midgut	9
9hmc6	9h_mc	Midgut	9
9hhc1	9h_hc	Hindgut	9
9hhc2	9h_hc	Hindgut	9
9hhc3	9h_hc	Hindgut	9
9hhc4	9h_hc	Hindgut	9
9hhc5	9h_hc	Hindgut	9
9hhc6	9h_hc	Hindgut	9
12hqc1	12h_qc	Foregut	12
12hqc2	12h_qc	Foregut	12
12hqc3	12h_qc	Foregut	12
12hqc4	12h_qc	Foregut	12
12hqc5	12h_qc	Foregut	12
12hqc6	12h_qc	Foregut	12
12hmc1	12h_mc	Midgut	12
12hmc2	12h_mc	Midgut	12
12hmc3	12h_mc	Midgut	12
12hmc4	12h_mc	Midgut	12
12hmc5	12h_mc	Midgut	12
12hmc6	12h_mc	Midgut	12
12hhc1	12h_hc	Hindgut	12
12hhc2	12h_hc	Hindgut	12
12hhc3	12h_hc	Hindgut	12
12hhc4	12h_hc	Hindgut	12
12hhc5	12h_hc	Hindgut	12
12hhc6	12h_hc	Hindgut	12
24hqc1	24h_qc	Foregut	24
24hqc2	24h_qc	Foregut	24
24hqc3	24h_qc	Foregut	24
24hqc4	24h_qc	Foregut	24
24hqc5	24h_qc	Foregut	24
24hqc6	24h_qc	Foregut	24
24hmc1	24h_mc	Midgut	24
24hmc2	24h_mc	Midgut	24
24hmc3	24h_mc	Midgut	24
24hmc4	24h_mc	Midgut	24
24hmc5	24h_mc	Midgut	24
24hmc6	24h_mc	Midgut	24
24hhc1	24h_hc	Hindgut	24
24hhc2	24h_hc	Hindgut	24
24hhc3	24h_hc	Hindgut	24
24hhc4	24h_hc	Hindgut	24
24hhc5	24h_hc	Hindgut	24
24hhc6	24h_hc	Hindgut	24
48hqc1	48h_qc	Foregut	48
48hqc2	48h_qc	Foregut	48
48hqc3	48h_qc	Foregut	48
48hqc4	48h_qc	Foregut	48
48hqc5	48h_qc	Foregut	48
48hqc6	48h_qc	Foregut	48
48hmc1	48h_mc	Midgut	48
48hmc2	48h_mc	Midgut	48
48hmc3	48h_mc	Midgut	48
48hmc4	48h_mc	Midgut	48
48hmc5	48h_mc	Midgut	48
48hmc6	48h_mc	Midgut	48
48hhc1	48h_hc	Hindgut	48
48hhc2	48h_hc	Hindgut	48
48hhc3	48h_hc	Hindgut	48
48hhc4	48h_hc	Hindgut	48
48hhc5	48h_hc	Hindgut	48
48hhc6	48h_hc	Hindgut	48
72hqc1	72h_qc	Foregut	72
72hqc2	72h_qc	Foregut	72
72hqc3	72h_qc	Foregut	72
72hqc4	72h_qc	Foregut	72
72hqc5	72h_qc	Foregut	72
72hqc6	72h_qc	Foregut	72
72hmc1	72h_mc	Midgut	72
72hmc2	72h_mc	Midgut	72
72hmc3	72h_mc	Midgut	72
72hmc4	72h_mc	Midgut	72
72hmc5	72h_mc	Midgut	72
72hmc6	72h_mc	Midgut	72
72hhc1	72h_hc	Hindgut	72
72hhc2	72h_hc	Hindgut	72
72hhc3	72h_hc	Hindgut	72
72hhc4	72h_hc	Hindgut	72
72hhc5	72h_hc	Hindgut	72
72hhc6	72h_hc	Hindgut	72
CK1	CK	Mixed gut	CK
CK2	CK	Mixed gut	CK
CK3	CK	Mixed gut	CK
CK4	CK	Mixed gut	CK
CK5	CK	Mixed gut	CK
CK6	CK	Mixed gut	CK
0h1	0h	Mixed gut	0
0h2	0h	Mixed gut	0
0h3	0h	Mixed gut	0
0h4	0h	Mixed gut	0
0h5	0h	Mixed gut	0
0h7	0h	Mixed gut	0
3h1	3h	Mixed gut	3
3h2	3h	Mixed gut	3
3h3	3h	Mixed gut	3
3h4	3h	Mixed gut	3
3h5	3h	Mixed gut	3
3h6	3h	Mixed gut	3
6h1	6h	Mixed gut	6
6h2	6h	Mixed gut	6
6h3	6h	Mixed gut	6
6h4	6h	Mixed gut	6
6h5	6h	Mixed gut	6
6h6	6h	Mixed gut	6
9h1	9h	Mixed gut	9
9h2	9h	Mixed gut	9
9h3	9h	Mixed gut	9
9h4	9h	Mixed gut	9
9h5	9h	Mixed gut	9
9h6	9h	Mixed gut	9
12h1	12h	Mixed gut	12
12h2	12h	Mixed gut	12
12h3	12h	Mixed gut	12
12h4	12h	Mixed gut	12
12h5	12h	Mixed gut	12
12h6	12h	Mixed gut	12
24h1	24h	Mixed gut	24
24h2	24h	Mixed gut	24
24h3	24h	Mixed gut	24
24h4	24h	Mixed gut	24
24h5	24h	Mixed gut	24
24h6	24h	Mixed gut	24
48h1	48h	Mixed gut	48
48h2	48h	Mixed gut	48
48h3	48h	Mixed gut	48
48h4	48h	Mixed gut	48
48h5	48h	Mixed gut	48
48h6	48h	Mixed gut	48
72h1	72h	Mixed gut	72
72h2	72h	Mixed gut	72
72h3	72h	Mixed gut	72
72h4	72h	Mixed gut	72
72h5	72h	Mixed gut	72
72h6	72h	Mixed gut	72
pCK1	pCK	Whole gut	CK
pCK2	pCK	Whole gut	CK
pCK3	pCK	Whole gut	CK
pCK4	pCK	Whole gut	CK
pCK5	pCK	Whole gut	CK
pCK6	pCK	Whole gut	CK
pCK7	pCK	Whole gut	CK
pCK8	pCK	Whole gut	CK
Y01	p0h	Whole gut	0
Y02	p0h	Whole gut	0
Y03	p0h	Whole gut	0
Y04	p0h	Whole gut	0
Y05	p0h	Whole gut	0
Y06	p0h	Whole gut	0
Y07	p0h	Whole gut	0
Y08	p0h	Whole gut	0
Y31	p3h	Whole gut	3
Y32	p3h	Whole gut	3
Y33	p3h	Whole gut	3
Y34	p3h	Whole gut	3
Y35	p3h	Whole gut	3
Y36	p3h	Whole gut	3
Y37	p3h	Whole gut	3
Y38	p3h	Whole gut	3
Y61	p6h	Whole gut	6
Y62	p6h	Whole gut	6
Y63	p6h	Whole gut	6
Y64	p6h	Whole gut	6
Y65	p6h	Whole gut	6
Y66	p6h	Whole gut	6
Y67	p6h	Whole gut	6
Y68	p6h	Whole gut	6
Y91	p9h	Whole gut	9
Y92	p9h	Whole gut	9
Y93	p9h	Whole gut	9
Y94	p9h	Whole gut	9
Y95	p9h	Whole gut	9
Y96	p9h	Whole gut	9
Y97	p9h	Whole gut	9
Y98	p9h	Whole gut	9
Y121	p12h	Whole gut	12
Y122	p12h	Whole gut	12
Y123	p12h	Whole gut	12
Y124	p12h	Whole gut	12
Y125	p12h	Whole gut	12
Y126	p12h	Whole gut	12
Y127	p12h	Whole gut	12
Y128	p12h	Whole gut	12
Y241	p24h	Whole gut	24
Y242	p24h	Whole gut	24
Y243	p24h	Whole gut	24
Y244	p24h	Whole gut	24
Y245	p24h	Whole gut	24
Y246	p24h	Whole gut	24
Y247	p24h	Whole gut	24
Y248	p24h	Whole gut	24
