SampleID	group	tissue	time
9hqc1	9h_qc	Foregut	9
9hqc2	9h_qc	Foregut	9
9hqc3	9h_qc	Foregut	9
9hqc4	9h_qc	Foregut	9
9hqc5	9h_qc	Foregut	9
9hqc6	9h_qc	Foregut	9
9hmc1	9h_mc	Midgut	9
9hmc2	9h_mc	Midgut	9
9hmc3	9h_mc	Midgut	9
9hmc4	9h_mc	Midgut	9
9hmc5	9h_mc	Midgut	9
9hmc6	9h_mc	Midgut	9
9hhc1	9h_hc	Hindgut	9
9hhc2	9h_hc	Hindgut	9
9hhc3	9h_hc	Hindgut	9
9hhc4	9h_hc	Hindgut	9
9hhc5	9h_hc	Hindgut	9
9hhc6	9h_hc	Hindgut	9
12hqc1	12h_qc	Foregut	12
12hqc2	12h_qc	Foregut	12
12hqc3	12h_qc	Foregut	12
12hqc4	12h_qc	Foregut	12
12hqc5	12h_qc	Foregut	12
12hqc6	12h_qc	Foregut	12
12hmc1	12h_mc	Midgut	12
12hmc2	12h_mc	Midgut	12
12hmc3	12h_mc	Midgut	12
12hmc4	12h_mc	Midgut	12
12hmc5	12h_mc	Midgut	12
12hmc6	12h_mc	Midgut	12
12hhc1	12h_hc	Hindgut	12
12hhc2	12h_hc	Hindgut	12
12hhc3	12h_hc	Hindgut	12
12hhc4	12h_hc	Hindgut	12
12hhc5	12h_hc	Hindgut	12
12hhc6	12h_hc	Hindgut	12
24hqc1	24h_qc	Foregut	24
24hqc2	24h_qc	Foregut	24
24hqc3	24h_qc	Foregut	24
24hqc4	24h_qc	Foregut	24
24hqc5	24h_qc	Foregut	24
24hqc6	24h_qc	Foregut	24
24hmc1	24h_mc	Midgut	24
24hmc2	24h_mc	Midgut	24
24hmc3	24h_mc	Midgut	24
24hmc4	24h_mc	Midgut	24
24hmc5	24h_mc	Midgut	24
24hmc6	24h_mc	Midgut	24
24hhc1	24h_hc	Hindgut	24
24hhc2	24h_hc	Hindgut	24
24hhc3	24h_hc	Hindgut	24
24hhc4	24h_hc	Hindgut	24
24hhc5	24h_hc	Hindgut	24
24hhc6	24h_hc	Hindgut	24
48hqc1	48h_qc	Foregut	48
48hqc2	48h_qc	Foregut	48
48hqc3	48h_qc	Foregut	48
48hqc4	48h_qc	Foregut	48
48hqc5	48h_qc	Foregut	48
48hqc6	48h_qc	Foregut	48
48hmc1	48h_mc	Midgut	48
48hmc2	48h_mc	Midgut	48
48hmc3	48h_mc	Midgut	48
48hmc4	48h_mc	Midgut	48
48hmc5	48h_mc	Midgut	48
48hmc6	48h_mc	Midgut	48
48hhc1	48h_hc	Hindgut	48
48hhc2	48h_hc	Hindgut	48
48hhc3	48h_hc	Hindgut	48
48hhc4	48h_hc	Hindgut	48
48hhc5	48h_hc	Hindgut	48
48hhc6	48h_hc	Hindgut	48
72hqc1	72h_qc	Foregut	72
72hqc2	72h_qc	Foregut	72
72hqc3	72h_qc	Foregut	72
72hqc4	72h_qc	Foregut	72
72hqc5	72h_qc	Foregut	72
72hqc6	72h_qc	Foregut	72
72hmc1	72h_mc	Midgut	72
72hmc2	72h_mc	Midgut	72
72hmc3	72h_mc	Midgut	72
72hmc4	72h_mc	Midgut	72
72hmc5	72h_mc	Midgut	72
72hmc6	72h_mc	Midgut	72
72hhc1	72h_hc	Hindgut	72
72hhc2	72h_hc	Hindgut	72
72hhc3	72h_hc	Hindgut	72
72hhc4	72h_hc	Hindgut	72
72hhc5	72h_hc	Hindgut	72
72hhc6	72h_hc	Hindgut	72
